NOC,Year,F_medals,M_medals,Total_medals,Percentage_women_medals,Games,F_athletes,M_athletes,Percentage_women_athletes,Total_athletes,Predicted_F_medals,Excess_F_medals
AFG,2008,0.0,1.0,1.0,0.0,2008 Summer,1.0,3.0,0.25,4.0,0.25,0.0
AFG,2012,0.0,1.0,1.0,0.0,2012 Summer,1.0,5.0,0.16666666666666666,6.0,0.16666666666666666,0.0
ALG,1984,0.0,2.0,2.0,0.0,1984 Summer,0.0,33.0,0.0,33.0,0.0,
ALG,1992,1.0,1.0,2.0,0.5,1992 Summer,2.0,33.0,0.05714285714285714,35.0,0.11428571428571428,8.75
ALG,1996,0.0,3.0,3.0,0.0,1996 Summer,6.0,39.0,0.13333333333333333,45.0,0.4,0.0
ALG,2000,1.0,4.0,5.0,0.2,2000 Summer,10.0,37.0,0.2127659574468085,47.0,1.0638297872340425,0.9400000000000001
ALG,2008,1.0,1.0,2.0,0.5,2008 Summer,22.0,34.0,0.39285714285714285,56.0,0.7857142857142857,1.2727272727272727
ALG,2012,0.0,1.0,1.0,0.0,2012 Summer,17.0,21.0,0.4473684210526316,38.0,0.4473684210526316,0.0
ALG,2016,0.0,2.0,2.0,0.0,2016 Summer,10.0,54.0,0.15625,64.0,0.3125,0.0
ANZ,1908,0.0,5.0,5.0,0.0,1908 Summer,0.0,30.0,0.0,30.0,0.0,
ANZ,1912,2.0,5.0,7.0,0.2857142857142857,1912 Summer,2.0,23.0,0.08,25.0,0.56,3.571428571428571
ARG,1924,0.0,6.0,6.0,0.0,1924 Summer,0.0,77.0,0.0,77.0,0.0,
ARG,1928,0.0,7.0,7.0,0.0,1928 Summer,0.0,81.0,0.0,81.0,0.0,
ARG,1932,0.0,4.0,4.0,0.0,1932 Summer,0.0,32.0,0.0,32.0,0.0,
ARG,1936,1.0,6.0,7.0,0.14285714285714285,1936 Summer,1.0,50.0,0.0196078431372549,51.0,0.13725490196078433,7.285714285714285
ARG,1948,1.0,5.0,6.0,0.16666666666666666,1948 Summer,11.0,188.0,0.05527638190954774,199.0,0.3316582914572864,3.015151515151515
ARG,1952,0.0,5.0,5.0,0.0,1952 Summer,8.0,115.0,0.06504065040650407,123.0,0.3252032520325204,0.0
ARG,1956,0.0,2.0,2.0,0.0,1956 Summer,1.0,34.0,0.02857142857142857,35.0,0.05714285714285714,0.0
ARG,1960,0.0,1.0,1.0,0.0,1960 Summer,1.0,91.0,0.010869565217391304,92.0,0.010869565217391304,0.0
ARG,1968,0.0,2.0,2.0,0.0,1968 Summer,5.0,84.0,0.056179775280898875,89.0,0.11235955056179775,0.0
ARG,1972,0.0,1.0,1.0,0.0,1972 Summer,4.0,88.0,0.043478260869565216,92.0,0.043478260869565216,0.0
ARG,1988,1.0,1.0,2.0,0.5,1988 Summer,25.0,93.0,0.211864406779661,118.0,0.423728813559322,2.3600000000000003
ARG,1992,0.0,1.0,1.0,0.0,1992 Summer,17.0,67.0,0.20238095238095238,84.0,0.20238095238095238,0.0
ARG,1996,0.0,3.0,3.0,0.0,1996 Summer,47.0,132.0,0.26256983240223464,179.0,0.7877094972067039,0.0
ARG,2000,2.0,2.0,4.0,0.5,2000 Summer,45.0,98.0,0.3146853146853147,143.0,1.2587412587412588,1.5888888888888888
ARG,2004,3.0,2.0,5.0,0.6,2004 Summer,46.0,106.0,0.3026315789473684,152.0,1.513157894736842,1.982608695652174
ARG,2008,2.0,3.0,5.0,0.4,2008 Summer,53.0,79.0,0.4015151515151515,132.0,2.0075757575757573,0.9962264150943397
ARG,2012,1.0,3.0,4.0,0.25,2012 Summer,40.0,97.0,0.291970802919708,137.0,1.167883211678832,0.8562500000000001
ARG,2016,1.0,2.0,3.0,0.3333333333333333,2016 Summer,75.0,140.0,0.3488372093023256,215.0,1.0465116279069768,0.9555555555555555
ARM,1996,0.0,2.0,2.0,0.0,1996 Summer,2.0,30.0,0.0625,32.0,0.125,0.0
ARM,2000,0.0,1.0,1.0,0.0,2000 Summer,2.0,23.0,0.08,25.0,0.08,0.0
ARM,2008,0.0,6.0,6.0,0.0,2008 Summer,2.0,23.0,0.08,25.0,0.48,0.0
ARM,2012,1.0,2.0,3.0,0.3333333333333333,2012 Summer,4.0,20.0,0.16666666666666666,24.0,0.5,2.0
ARM,2016,0.0,4.0,4.0,0.0,2016 Summer,7.0,24.0,0.22580645161290322,31.0,0.9032258064516129,0.0
AUS,1896,0.0,3.0,3.0,0.0,1896 Summer,0.0,1.0,0.0,1.0,0.0,
